POA_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
POA3032,42,75,66,35,100,86,22,43,0,468,25,64,58,28,155,112,25,63,109,639,883,2087,1851,1253,3656,3816,1068,2018,204,16835
POA3033,24,43,27,19,37,37,15,32,0,254,20,27,31,16,60,58,9,26,54,297,367,1012,738,510,1476,1542,406,829,109,6984
POA3034,16,45,29,11,39,33,14,21,6,215,15,35,21,17,59,48,4,20,58,274,295,719,631,354,1145,1231,288,587,115,5368
POA3036,5,15,10,3,16,23,3,17,0,102,8,14,10,10,23,36,3,19,24,151,154,429,346,221,505,680,167,404,38,2947
POA3037,73,136,112,77,218,175,42,80,7,920,48,122,106,65,293,262,50,97,255,1304,1187,3502,2867,1896,6181,5713,1251,2219,564,25376
POA3038,43,71,74,39,103,93,24,43,5,492,24,65,49,34,110,135,39,30,138,616,673,1961,1547,978,2954,2787,715,1293,239,13144
POA3039,24,38,35,23,39,27,19,26,0,241,9,39,38,18,84,62,8,40,47,342,461,1167,1025,688,1885,2225,618,1262,91,9434
POA3040,29,63,61,36,81,80,16,44,0,403,20,61,46,28,104,121,32,71,95,571,756,2118,1677,1075,2811,3399,906,2048,200,14985
POA3041,12,26,33,14,39,44,14,27,0,215,11,16,28,17,58,59,13,35,51,284,341,1006,813,528,1334,1536,465,879,102,7002
POA3042,30,48,42,24,52,58,13,40,11,308,15,30,33,6,86,79,17,30,50,355,492,1090,917,613,1865,1909,490,1037,115,8531
POA3043,28,61,49,26,57,83,13,25,0,346,13,42,45,13,72,60,18,28,77,367,429,1018,906,595,1859,1811,462,809,141,8026
POA3044,37,73,74,40,103,92,23,48,5,493,22,44,59,30,126,122,22,57,92,579,808,1975,1733,1202,3256,3551,941,1701,225,15393
POA3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
POA3046,50,66,99,52,144,100,19,42,3,569,26,85,84,40,187,153,17,65,168,824,857,2168,2311,1386,4248,3898,868,1475,325,17533
POA3047,13,40,33,18,56,41,10,18,10,235,23,59,67,28,113,76,11,21,131,538,304,1033,1079,552,1526,1152,242,387,244,6531
POA3048,22,30,33,18,34,41,3,11,0,202,16,53,37,22,86,74,19,21,123,456,255,802,694,459,1299,1020,214,340,233,5313
POA3049,14,32,22,13,36,38,8,8,0,179,9,18,17,11,42,39,6,18,38,196,272,637,562,344,1091,986,253,482,86,4710
POA3051,16,42,23,27,43,38,15,23,0,220,17,23,37,17,60,61,12,37,52,321,412,1271,924,573,1718,1864,510,950,99,8321
POA3052,7,37,12,5,16,5,4,12,0,102,13,19,23,6,15,19,8,12,23,130,358,1082,447,210,604,680,182,372,38,3980
POA3053,23,49,51,15,42,29,10,15,0,228,19,61,61,15,48,57,14,30,77,376,540,1796,1204,529,1516,1656,381,731,142,8499
POA3054,17,13,32,18,17,27,6,19,0,145,10,15,9,11,19,46,10,16,27,170,281,757,512,433,844,1133,348,756,60,5130
POA3055,19,36,33,36,62,59,16,18,0,277,16,36,29,22,68,69,14,26,47,320,474,1239,1028,737,1868,1931,527,956,104,8863
POA3056,33,76,74,48,122,73,19,28,0,478,22,47,52,32,96,124,33,63,85,555,783,2079,1731,1359,3264,3677,1010,1795,173,15877
POA3057,25,42,33,18,53,53,13,20,0,265,8,38,24,22,57,84,19,40,39,330,434,1055,845,682,2013,2183,599,1049,76,8945
POA3058,63,81,64,47,148,105,27,40,7,581,31,82,47,39,157,132,27,56,101,663,1071,2690,2263,1681,3845,4064,1045,1926,207,18787
POA3059,32,62,56,28,77,66,16,28,8,375,26,57,40,25,98,118,18,34,100,511,543,1496,1133,731,2367,2339,568,1013,230,10419
POA3060,9,41,33,14,57,34,9,6,4,213,13,39,47,20,68,47,16,12,89,348,286,862,805,451,1286,1136,259,374,181,5645
POA3061,9,15,5,12,14,10,3,5,0,84,4,3,7,9,31,22,0,6,32,109,77,232,184,111,335,287,59,113,57,1451
POA3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,6
POA3063,5,4,0,0,0,6,0,0,0,14,0,0,0,0,0,0,0,4,0,9,21,43,36,8,54,55,16,57,3,284
POA3064,122,220,274,97,428,328,71,103,22,1669,80,302,272,162,708,547,95,153,632,2957,2026,6399,5972,3733,12687,10346,2159,3529,1318,48172
POA3065,9,32,16,12,38,31,7,18,0,174,9,28,19,15,38,61,17,39,45,273,287,682,596,445,1122,1461,479,1029,88,6186
POA3066,17,17,25,12,30,28,5,11,0,139,8,28,22,13,45,68,9,30,37,265,276,555,477,396,1225,1585,474,843,64,5889
POA3067,12,23,33,10,36,25,12,17,0,160,15,12,17,12,43,67,7,35,32,243,294,597,564,398,1435,1622,444,805,61,6224
POA3068,22,54,38,27,71,55,16,32,0,325,9,51,30,27,63,87,25,49,43,385,540,1493,1156,929,2092,2712,865,1739,91,11618
POA3070,44,70,63,46,81,68,18,33,0,427,21,62,53,39,86,130,26,54,54,517,758,1998,1631,1294,2781,3303,1061,1980,115,14919
POA3071,33,62,45,33,78,61,8,26,9,353,15,29,35,24,70,73,15,46,59,364,591,1465,1302,979,2220,2407,707,1226,116,10997
POA3072,62,88,80,51,120,92,18,45,9,561,28,82,80,48,140,157,29,58,130,747,962,2519,2230,1558,3993,4033,1040,1694,269,18295
POA3073,71,137,128,56,185,183,43,56,19,875,50,134,116,73,259,219,45,86,255,1235,1264,3221,3097,2002,5673,5278,1320,2032,505,24395
POA3074,22,58,56,26,69,43,16,27,7,323,15,55,51,36,166,95,16,20,107,553,313,1145,1083,638,2056,1533,323,515,233,7836
POA3075,25,74,57,24,74,71,20,19,11,372,26,66,55,38,143,115,11,30,124,604,406,1309,1173,732,2371,1790,383,619,253,9046
POA3076,46,83,84,42,139,116,26,43,10,588,36,101,81,50,231,180,27,44,144,892,682,2019,1891,1174,3986,3258,638,1072,314,15040
POA3078,13,46,30,17,47,23,8,11,3,202,5,24,11,14,35,45,16,29,31,219,371,978,773,615,1285,1536,472,916,64,7013
POA3079,11,49,31,27,49,39,9,28,0,246,3,42,34,24,55,71,13,40,33,319,432,1440,1015,716,1557,2147,561,1365,69,9308
POA3081,22,45,35,30,66,32,9,18,0,262,11,38,28,18,71,42,9,26,66,307,385,952,797,561,1506,1438,361,596,132,6732
POA3082,42,91,68,42,129,103,28,33,0,536,27,82,61,30,182,133,25,42,150,732,698,2010,1681,1128,3473,3133,707,1170,273,14266
POA3083,33,90,74,40,110,112,39,40,7,545,20,97,85,35,167,134,30,50,138,763,797,2501,2014,1215,3404,3141,746,1209,271,15305
POA3084,28,66,61,32,68,79,21,43,8,395,28,43,48,36,81,100,21,41,64,468,707,1961,1562,1122,2510,3141,825,1735,133,13701
POA3085,18,33,27,20,36,34,8,14,4,189,6,27,18,14,37,51,8,25,38,227,361,1000,785,568,1357,1790,518,791,73,7253
POA3087,20,29,16,13,35,40,3,12,0,168,14,16,14,12,33,31,7,19,17,158,286,634,525,368,962,1104,244,468,43,4637
POA3088,33,74,64,39,94,98,20,59,0,486,12,60,46,19,76,109,23,49,44,444,746,2014,1581,1088,2608,3139,896,1601,113,13779
POA3089,26,44,42,12,39,65,10,26,3,261,16,34,24,16,52,67,17,27,40,288,415,1066,817,560,1218,1596,466,837,80,7063
POA3090,0,12,13,5,4,8,0,8,0,62,0,7,4,5,4,7,5,19,9,55,79,224,174,91,205,308,87,240,7,1406
POA3091,4,3,6,4,9,9,0,3,0,41,0,0,3,0,8,17,0,4,4,44,40,143,116,68,138,203,46,113,13,877
POA3093,3,11,12,6,12,14,0,14,0,68,3,7,6,4,7,26,0,11,10,78,118,301,217,157,318,402,126,284,23,1952
POA3094,12,23,24,11,30,29,10,12,4,145,7,18,11,16,23,39,11,16,25,161,252,721,562,410,876,1047,283,543,37,4736
POA3095,38,89,74,46,85,102,21,57,9,510,13,70,38,37,79,118,32,61,54,494,827,2477,1761,1198,2378,3242,986,1978,128,14975
POA3096,7,8,10,3,3,7,3,3,0,47,0,9,0,0,10,7,5,6,4,30,56,168,121,72,177,252,54,132,8,1039
POA3097,0,19,8,0,3,6,0,0,0,40,0,6,9,0,0,9,0,5,3,43,46,161,96,53,99,162,48,112,17,796
POA3099,11,15,22,4,19,18,4,12,0,107,6,14,5,10,9,20,3,10,14,79,156,444,321,250,387,548,154,348,39,2649
POA3101,30,64,38,32,56,43,12,36,0,315,27,77,49,27,77,99,22,76,84,531,583,2127,1395,961,1977,2644,793,2063,163,12700
POA3102,9,24,11,4,13,9,3,8,0,86,4,17,10,13,18,29,5,15,12,126,166,598,401,233,525,735,228,537,25,3449
POA3103,11,28,34,14,34,29,8,16,0,185,16,49,27,19,50,77,15,32,52,333,299,1270,876,538,1230,1594,376,888,81,7154
POA3104,23,59,28,24,47,39,9,18,7,253,23,54,45,26,61,86,25,52,67,442,425,1838,1202,725,1659,2232,570,1334,142,10130
POA3105,22,42,34,23,33,27,8,10,0,200,10,19,15,14,43,42,8,19,36,209,255,808,630,383,1008,1207,337,565,80,5276
POA3106,15,41,40,24,53,45,6,24,0,259,12,58,29,13,60,61,11,46,52,348,364,1326,949,601,1377,1720,374,950,107,7764
POA3107,20,37,29,23,33,47,8,16,0,213,17,39,17,14,47,61,12,26,50,281,318,1027,780,525,1233,1424,317,747,78,6457
POA3108,27,87,63,28,72,73,9,26,5,393,21,70,52,38,113,106,17,45,107,568,541,1813,1427,898,2534,2529,535,1077,207,11568
POA3109,31,101,79,40,91,97,21,41,8,505,36,81,74,37,138,132,20,50,111,685,626,2327,1740,1055,2982,3298,648,1244,183,14104
POA3111,11,38,34,23,47,43,14,24,0,229,9,48,29,23,51,50,8,39,35,285,262,1048,727,422,1086,1269,314,751,76,5957
POA3113,12,33,28,12,15,38,9,19,0,165,9,33,13,12,27,37,4,29,16,170,256,880,547,356,613,928,267,698,32,4563
POA3114,5,13,8,0,6,9,5,5,0,53,7,16,10,3,11,8,3,3,8,73,104,408,239,156,261,363,123,340,18,2016
POA3115,10,16,10,6,6,17,0,8,0,74,4,13,4,9,19,27,7,19,10,99,114,405,284,166,294,447,115,330,17,2168
POA3116,29,50,34,25,57,57,16,28,4,296,11,39,19,14,63,61,9,26,41,281,339,994,687,462,1214,1285,386,691,82,6136
POA3121,47,88,77,57,107,108,36,57,9,581,24,71,45,42,134,170,33,106,96,729,839,1996,1628,1285,4328,5420,1678,3425,193,20792
POA3122,33,54,61,26,66,49,13,15,0,321,18,63,43,25,76,119,15,70,75,500,658,1928,1368,849,2323,3122,838,1941,150,13181
POA3123,13,40,24,15,36,23,7,13,0,177,8,32,24,8,64,77,8,43,30,293,350,1156,858,573,1518,2040,608,1301,64,8462
POA3124,9,51,47,22,40,54,10,29,5,261,21,50,34,21,65,67,18,49,57,376,492,1844,1296,853,1626,2348,691,1753,113,11014
POA3125,14,43,36,22,46,41,5,15,0,228,17,44,41,7,70,51,10,23,70,344,374,1398,989,534,1439,1540,345,669,121,7410
POA3126,4,26,11,5,14,18,3,12,0,95,4,28,12,12,12,37,4,28,19,161,182,735,403,256,475,728,201,676,45,3699
POA3127,14,53,31,23,38,40,13,26,0,243,13,35,28,22,53,73,13,32,48,309,424,1721,1141,685,1544,2089,633,1498,81,9830
POA3128,24,60,80,33,82,63,15,19,0,384,19,80,82,37,86,106,16,28,120,575,524,1850,1737,912,2359,2302,515,892,176,11258
POA3129,23,47,52,20,50,45,14,26,0,271,14,55,62,22,66,82,9,25,54,387,427,1467,1163,740,1682,1998,469,876,101,8928
POA3130,35,115,85,50,101,95,23,45,0,553,19,79,62,31,137,130,29,48,100,644,780,2685,1963,1272,3206,3695,919,1790,182,16494
POA3131,27,64,49,34,88,78,16,31,0,393,19,63,39,22,94,96,13,39,72,450,508,1662,1415,845,2501,2440,569,1017,143,11103
POA3132,16,39,39,23,61,57,20,28,0,281,5,37,31,24,80,86,12,21,51,349,418,1246,997,726,1900,2091,532,895,96,8910
POA3133,28,65,59,36,76,64,27,31,4,381,16,56,55,43,102,96,23,36,59,478,448,1761,1270,877,2219,2342,606,1012,124,10661
POA3134,50,104,87,45,141,123,38,71,0,658,28,83,52,38,186,133,54,82,107,762,838,2690,2116,1393,3743,3941,1086,1963,226,17999
POA3135,23,77,55,36,58,77,25,34,3,390,16,45,38,20,97,87,14,36,67,419,522,1611,1234,814,2106,2368,649,1101,138,10542
POA3136,70,136,119,72,206,186,44,88,7,931,40,101,86,47,244,233,47,85,135,1014,1207,3298,2659,1940,4908,5268,1418,2434,259,23386
POA3137,14,52,48,25,55,74,17,34,0,316,9,43,14,22,104,102,17,19,50,386,415,1042,823,599,1685,1703,424,752,101,7556
POA3138,40,83,78,35,106,129,23,65,5,573,22,62,27,37,168,135,26,48,101,628,597,1663,1357,948,2683,2588,712,1213,198,11955
POA3139,34,72,59,23,67,89,28,51,3,426,13,33,31,21,67,85,24,41,47,355,427,1089,903,602,1415,1618,458,850,139,7507
POA3140,38,61,56,27,80,87,27,32,8,407,11,34,30,17,69,96,20,48,47,373,467,1339,964,770,1835,1937,539,1020,96,8968
POA3141,38,54,81,27,87,67,11,36,0,411,21,53,56,31,114,167,36,88,84,652,658,1670,1410,924,3349,4329,1171,2575,189,16281
POA3142,9,23,25,9,31,29,0,20,4,148,16,49,28,12,58,72,16,49,47,347,277,945,737,443,997,1461,410,1169,103,6550
POA3143,10,26,24,5,26,21,0,14,0,129,16,17,27,12,36,35,13,23,23,207,238,684,543,357,960,1250,400,940,67,5419
POA3144,3,31,10,16,26,7,9,15,0,119,4,21,23,21,28,35,11,50,25,221,250,859,598,397,834,1123,368,1087,61,5582
POA3145,18,61,45,18,51,48,21,22,0,286,20,66,47,28,71,115,33,85,67,532,593,2023,1461,904,2130,2601,824,2015,132,12683
POA3146,37,83,53,23,52,49,25,44,0,366,14,69,41,18,80,106,24,68,70,496,665,2286,1572,968,2216,3159,959,2281,122,14227
POA3147,8,39,33,15,26,38,8,22,5,193,11,46,27,17,40,82,13,44,42,320,340,1170,831,554,1315,1703,473,997,76,7454
POA3148,19,33,25,15,39,28,3,14,8,180,5,32,15,16,44,57,4,17,47,244,239,659,562,324,1194,1223,269,484,90,5042
POA3149,33,90,72,38,112,83,17,42,3,493,19,92,78,58,167,139,27,48,141,779,694,2599,2113,1238,3637,4018,860,1607,250,17022
POA3150,73,168,131,86,152,143,37,65,10,864,55,181,148,78,282,306,45,81,207,1378,1087,4495,3592,2069,6231,6524,1354,2534,385,28271
POA3151,11,38,28,11,29,36,9,19,0,181,7,19,38,14,55,54,5,7,44,249,200,830,657,390,1157,1046,250,396,85,5015
POA3152,47,103,86,55,126,117,35,45,11,618,26,85,80,46,184,151,32,51,127,783,714,2585,1990,1312,3952,3805,875,1429,255,16920
POA3153,35,62,61,25,103,100,26,41,0,455,24,40,49,32,150,110,29,37,76,542,513,1404,1218,863,2618,2448,646,881,155,10741
POA3154,4,13,13,8,21,23,4,16,0,99,8,12,19,10,27,22,6,19,13,124,140,334,289,189,449,485,135,273,31,2319
POA3155,35,74,53,36,113,93,26,46,8,489,22,65,44,44,159,127,30,47,69,611,609,1609,1395,959,2761,2725,640,1062,163,11915
POA3156,60,122,109,52,163,167,49,77,5,817,28,96,72,71,226,208,47,103,104,953,993,2981,2361,1636,4337,4388,1219,2068,241,20221
POA3158,18,35,14,7,33,20,3,21,0,151,8,9,11,5,28,29,6,12,17,124,240,586,472,312,713,771,231,372,45,3726
POA3159,6,3,3,8,3,6,0,5,0,43,0,7,3,3,11,9,0,7,3,44,89,197,157,122,246,280,89,157,14,1361
POA3160,15,53,30,24,47,46,5,29,3,256,10,23,13,7,37,41,8,15,19,180,306,770,638,436,888,1000,299,518,44,4896
POA3161,21,57,40,15,31,44,15,19,0,246,16,51,42,28,66,95,20,51,71,446,387,1475,1110,677,1522,1929,517,1216,138,8973
POA3162,16,67,50,25,38,54,17,27,0,293,8,43,38,32,65,89,24,61,45,421,399,1475,1104,722,1499,2076,566,1316,110,9268
POA3163,23,79,85,44,98,74,31,27,3,471,34,82,69,38,180,176,40,71,134,828,853,2457,2083,1376,3996,4622,1140,1955,262,18741
POA3165,40,95,67,48,89,81,28,51,3,503,21,63,55,38,134,128,29,60,82,615,725,2230,1736,1155,3008,3674,963,1802,183,15473
POA3166,41,56,79,31,107,75,21,33,7,453,19,48,60,36,142,128,19,31,93,577,628,1877,1554,1031,2882,3129,790,1263,179,13333
POA3167,14,30,21,23,37,26,5,8,0,173,13,36,29,14,51,38,8,17,37,238,287,701,590,365,1115,1159,247,427,74,4961
POA3168,26,58,49,29,59,49,10,18,10,305,18,81,78,27,142,105,16,27,155,652,559,2315,1679,772,2415,2050,339,580,269,10972
POA3169,30,63,59,31,108,76,16,25,3,414,25,66,79,35,162,124,14,20,123,652,433,1341,1342,766,2599,2070,414,587,243,9789
POA3170,25,57,53,28,76,68,15,28,0,357,8,50,59,32,140,90,22,34,115,543,420,1277,1090,725,2296,2156,481,841,195,9479
POA3171,21,97,91,35,116,62,10,19,5,463,20,101,95,57,300,152,15,33,180,947,315,1381,1357,707,2660,1756,353,547,295,9385
POA3172,31,101,85,35,120,87,24,34,8,521,19,77,58,53,229,131,20,51,94,734,451,1632,1259,846,2778,2198,517,917,188,10786
POA3173,44,75,95,37,159,106,20,38,0,587,24,131,72,48,345,205,33,53,150,1060,528,1891,1517,1085,4215,3171,624,1098,262,14400
POA3174,56,169,147,59,170,116,40,27,16,797,41,152,135,88,478,261,40,62,254,1507,638,2474,2366,1385,4949,3335,706,1048,479,17381
POA3175,65,105,121,61,209,129,35,58,11,796,40,174,166,115,467,311,51,111,320,1747,732,2849,2718,1721,5665,4271,984,1441,624,21005
POA3177,6,27,23,6,40,34,12,12,4,165,15,34,22,24,121,81,12,16,83,406,164,584,523,352,1182,906,250,271,159,4381
POA3178,46,120,89,49,147,146,41,80,0,721,26,70,67,43,208,221,44,54,106,833,786,2635,1975,1310,4135,4246,1078,1794,210,18168
POA3179,9,15,20,5,18,25,4,13,0,107,6,19,9,8,49,36,9,14,29,177,130,439,380,238,770,694,160,259,57,3133
POA3180,15,27,21,10,42,28,10,12,0,153,4,24,21,13,56,29,5,12,18,194,167,521,459,282,933,893,203,295,35,3794
POA3181,48,44,51,25,79,54,23,29,0,358,14,52,22,27,105,128,33,82,71,537,603,1308,1073,796,2666,3400,943,1946,150,12883
POA3182,58,81,87,48,110,64,20,33,5,496,25,55,42,27,139,142,38,69,80,623,691,1556,1502,998,3070,3610,937,1772,175,14308
POA3183,44,72,55,22,67,60,16,30,0,363,19,54,29,26,62,105,22,49,61,424,502,1415,1220,780,2086,2473,773,1346,147,10733
POA3184,20,52,51,30,50,53,17,25,0,292,9,31,33,27,61,92,29,61,39,380,467,1098,916,730,1746,2235,710,1449,92,9438
POA3185,21,45,26,16,37,32,15,27,0,228,12,33,28,20,47,77,13,41,44,316,363,1036,780,616,1313,1770,518,1070,84,7553
POA3186,27,66,35,37,30,33,11,28,0,272,16,100,59,24,52,107,21,75,75,525,512,1915,1278,831,1357,2317,680,2183,161,11235
POA3187,14,49,23,18,29,43,18,24,0,214,6,55,26,21,37,81,23,51,47,347,396,1380,853,574,1056,1732,529,1349,88,7960
POA3188,21,60,38,28,32,39,18,32,3,279,21,60,34,18,58,82,25,59,56,414,447,1595,995,656,1330,2057,664,1616,103,9476
POA3189,9,15,19,10,16,14,5,16,0,113,7,25,15,3,29,32,0,15,7,133,143,407,382,264,686,765,174,377,33,3224
POA3190,14,44,31,15,30,43,11,15,0,198,3,21,19,11,42,70,16,26,35,236,323,844,641,504,1224,1557,441,812,65,6410
POA3191,15,29,18,9,24,20,3,18,0,141,13,34,17,4,22,53,16,44,30,239,283,937,608,364,761,1167,350,921,57,5452
POA3192,45,68,69,40,83,69,18,34,6,427,15,64,46,26,95,136,20,43,64,512,593,1757,1436,993,2423,2852,767,1415,139,12377
POA3193,26,57,36,28,30,37,22,31,4,267,23,69,57,29,61,100,32,83,49,500,510,1802,1173,760,1239,2051,668,1743,110,10064
POA3194,14,30,36,24,46,44,19,20,0,235,6,26,21,13,48,68,5,19,24,242,335,943,762,513,1427,1720,486,862,63,7109
POA3195,41,107,94,47,109,114,31,68,5,618,27,79,69,50,155,192,48,105,76,796,969,3023,2202,1506,3578,4602,1295,2534,200,19910
POA3196,41,91,71,33,103,74,24,35,0,464,20,60,45,35,129,156,19,64,70,608,753,1776,1485,1151,2919,3186,935,1471,161,13841
POA3197,30,44,47,22,49,43,12,19,3,266,11,29,27,15,62,84,16,30,55,331,308,890,730,480,1217,1431,380,765,106,6312
POA3198,53,45,41,19,52,69,10,30,3,320,23,39,29,14,97,89,25,24,75,413,521,1023,921,660,1790,1955,480,809,153,8309
POA3199,105,163,115,82,173,181,43,63,9,930,48,133,85,59,209,252,60,114,179,1153,1506,3952,3110,2294,5332,5630,1556,2701,384,26461
POA3200,10,10,11,3,14,28,7,6,0,85,8,21,21,7,30,38,6,11,27,164,106,286,211,168,482,441,127,155,57,2038
POA3201,54,63,53,23,123,109,29,44,7,502,19,59,49,29,167,157,34,49,90,653,578,1303,1260,907,2865,2605,622,984,185,11311
POA3202,0,0,7,3,9,8,0,4,0,40,0,7,3,0,16,14,3,3,4,60,78,207,161,101,313,336,84,157,20,1462
POA3204,38,79,73,51,74,97,25,40,6,477,28,85,54,36,109,150,26,83,86,656,842,2644,2030,1365,3291,4215,1091,2140,181,17796
POA3205,12,34,32,8,25,35,11,21,4,187,13,28,28,20,49,74,10,33,33,288,300,686,588,393,1258,1743,483,1098,68,6620
POA3206,7,14,26,12,13,22,8,13,0,121,10,22,25,5,26,52,7,54,34,238,243,727,510,363,634,1086,334,1210,59,5164
POA3207,37,55,35,32,44,49,15,35,0,304,23,32,31,21,69,115,25,50,62,440,492,989,885,577,1686,2503,757,1808,95,9792
POA3211,4,0,0,7,0,5,4,0,0,17,4,0,5,4,6,10,4,3,4,40,33,67,67,46,104,143,44,86,20,609
POA3212,29,61,49,16,60,69,15,36,0,328,7,24,29,22,60,83,11,37,46,331,477,1226,1028,676,1997,2060,549,1082,112,9212
POA3213,5,23,15,5,16,22,0,7,0,97,0,7,14,6,17,20,3,13,25,109,115,417,273,193,494,517,135,309,57,2506
POA3214,26,57,39,12,77,69,11,23,8,326,36,65,52,37,110,127,20,33,121,613,481,1444,1170,760,1965,1724,384,663,238,8831
POA3215,25,54,42,23,71,82,13,22,0,328,15,49,28,27,85,95,13,38,97,447,577,1524,1292,852,2205,2258,545,989,207,10451
POA3216,66,188,151,71,175,169,44,77,7,945,39,136,85,57,172,166,38,108,131,927,1652,5549,3743,2467,5690,5940,1697,3006,334,30086
POA3217,31,75,78,28,79,67,9,29,8,402,6,43,27,15,46,78,15,43,63,326,667,1668,1388,970,2568,2437,684,1119,154,11660
POA3218,22,44,36,16,46,35,13,21,3,242,6,31,20,22,38,48,11,29,44,250,461,1168,991,670,1601,1720,531,938,87,8176
POA3219,23,68,49,28,86,87,19,27,5,392,18,39,20,20,71,73,11,23,61,351,506,1542,1238,808,2014,1937,496,743,141,9419
POA3220,5,44,31,33,39,42,6,27,0,224,15,50,37,15,54,46,11,38,36,308,476,1594,1118,787,1452,1778,529,1279,75,9091
POA3221,0,0,0,0,0,3,0,3,0,12,0,0,5,0,4,3,0,3,4,17,22,78,46,38,64,66,32,72,12,419
POA3222,23,75,42,31,66,68,21,44,8,378,13,41,20,18,37,60,13,28,63,291,510,1455,1076,753,1528,1689,465,818,125,8416
POA3223,11,21,27,12,23,24,9,15,0,137,13,23,13,6,16,22,6,10,27,139,270,598,448,310,604,648,176,356,74,3485
POA3224,20,65,57,23,61,62,12,41,5,347,7,26,23,23,47,44,14,21,50,250,368,1174,901,642,1399,1441,383,693,101,7093
POA3225,6,7,7,7,4,13,3,7,0,52,5,11,14,7,9,12,5,11,18,80,154,428,307,177,305,345,98,249,48,2106
POA3226,28,60,44,14,43,33,10,19,5,258,16,40,30,24,25,53,11,22,39,261,576,1464,1162,767,1331,1692,457,897,145,8481
POA3227,16,18,9,5,7,7,5,6,0,71,9,17,7,7,9,18,0,11,15,94,187,442,355,218,342,474,126,341,40,2530
POA3228,43,82,53,31,67,51,13,27,4,373,27,46,40,30,54,92,17,61,55,420,770,1997,1438,983,1991,2564,761,1522,133,12168
POA3230,0,4,3,5,12,7,3,3,0,34,0,16,7,5,8,6,0,3,12,55,114,301,211,129,220,231,81,149,25,1460
POA3231,0,4,5,0,5,0,0,0,0,19,0,3,10,0,0,11,0,0,0,27,48,167,105,78,89,130,37,93,4,754
POA3232,0,4,0,0,6,0,0,0,0,10,7,0,0,0,0,0,0,7,6,26,77,122,66,63,88,93,33,47,12,602
POA3233,0,8,0,0,4,5,0,3,0,20,4,5,3,3,4,6,0,0,5,36,113,234,138,98,164,125,39,101,22,1037
POA3234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,24,12,14,14,25,0,10,0,116
POA3235,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,0,0,0,3,14,21,46,37,20,21,40,6,34,6,249
POA3236,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,10,30,20,8,14,17,3,11,0,118
POA3237,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,7,9,23,18,7,12,27,3,17,4,119
POA3238,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,13,31,23,8,7,22,5,22,0,135
POA3239,0,0,0,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,8,15,35,21,23,33,37,0,41,7,214
POA3240,4,11,0,0,8,12,0,12,0,49,4,4,3,0,6,5,3,4,6,32,65,211,133,113,180,239,64,177,15,1196
POA3241,5,5,5,7,11,5,4,3,0,35,4,4,5,4,8,6,4,9,17,59,105,224,150,137,230,294,75,219,37,1468
POA3242,0,0,0,0,5,4,0,0,0,15,3,3,0,9,4,0,0,0,4,15,30,83,59,50,62,100,19,62,11,475
POA3243,0,0,0,0,0,0,0,0,0,3,0,3,5,0,8,3,0,0,0,16,6,28,28,11,36,42,13,46,0,215
POA3249,0,9,14,3,7,10,0,3,0,45,7,10,10,3,10,10,7,7,20,78,100,282,222,131,258,269,96,331,49,1727
POA3250,15,42,18,11,42,43,14,30,7,227,17,27,16,14,40,29,5,21,51,215,337,960,665,470,1229,1116,383,649,113,5923
POA3251,0,3,0,0,5,0,0,0,0,9,0,5,0,0,0,3,0,5,4,11,15,43,18,25,46,56,17,55,4,283
POA3254,0,0,0,5,7,0,0,0,0,9,0,0,4,0,0,3,0,0,0,11,13,28,13,16,31,33,10,22,9,172
POA3260,3,8,0,7,13,12,0,9,0,59,0,10,8,0,11,14,6,4,16,78,95,341,242,173,299,404,126,460,56,2203
POA3264,6,4,0,4,3,13,0,11,0,50,0,15,4,3,3,7,0,0,16,49,60,152,96,96,154,187,65,164,33,1008
POA3265,3,7,3,4,3,4,0,4,3,34,0,4,4,6,8,10,5,7,16,54,60,220,153,113,174,227,103,414,58,1525
POA3266,0,3,4,0,8,4,3,3,3,30,0,10,6,4,6,15,3,9,20,61,70,196,146,101,170,273,87,330,55,1441
